LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-06-25 06:29:59,1900-01-00 00:00:00,,80:CA:4B:57:68:F2,-78, ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:29:59,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:29:59,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:29:59,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:29:59,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:29:59,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:00,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:01,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:01,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:01,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:01,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-06-25 06:30:01,1900-01-00 00:00:00,U+Net68F0,80:CA:4B:57:68:F2,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
